Time,Temperature,Temperature_0,Temperature_1,Temperature_2,heat C,heat B,heat A
1/15/2021 14:04:38.734,66.410824,66.59157,65.805961,66.04177,67.590632,67.987761,68.429336
1/15/2021 14:04:39.234,66.450565,66.625575,65.766109,66.083349,67.593675,67.994701,68.40716
1/15/2021 14:04:39.734,66.436854,66.631588,65.711791,66.085005,67.594926,68.013149,68.432254
1/15/2021 14:04:40.234,66.423553,66.611178,65.714088,66.077667,67.599546,67.995069,68.426785
1/15/2021 14:04:40.734,66.469305,66.661973,65.713968,66.059197,67.598366,68.001914,68.454034
1/15/2021 14:04:41.234,66.494536,66.650049,65.730487,65.971805,67.615186,68.034782,68.434628
1/15/2021 14:04:41.734,66.487053,66.638438,65.740207,65.962716,67.640265,68.030053,68.44824
1/15/2021 14:04:42.234,66.525465,66.616531,65.756604,65.948833,67.628227,68.020538,68.453628
1/15/2021 14:04:42.734,66.509161,66.583257,65.76576,65.928628,67.632029,68.025716,68.471873
1/15/2021 14:04:43.234,66.492287,66.571429,65.797973,65.957399,67.642376,68.043399,68.466858
1/15/2021 14:04:43.734,66.506593,66.614861,65.847379,65.972394,67.642013,68.060232,68.478187
1/15/2021 14:04:44.234,66.484966,66.604014,65.833548,65.93769,67.653688,68.037744,68.481149
1/15/2021 14:04:44.734,66.478874,66.62659,65.824243,65.912099,67.655162,68.040822,68.484456
1/15/2021 14:04:45.234,66.469903,66.621289,65.838209,65.979512,67.66153,68.064614,68.477755
1/15/2021 14:04:45.734,66.515608,66.640618,65.875893,65.978658,67.664214,68.082431,68.518955
1/15/2021 14:04:46.234,66.533015,66.691507,65.888027,66.033456,67.689537,68.093995,68.505758
1/15/2021 14:04:46.734,66.556387,66.719694,65.887776,66.158445,67.685594,68.077213,68.532994
1/15/2021 14:04:47.234,66.567969,66.751686,65.874356,66.193653,67.695214,68.111824,68.545594
1/15/2021 14:04:47.734,66.579171,66.803938,65.879367,66.211049,67.716214,68.099806,68.545957
1/15/2021 14:04:48.234,66.590712,66.797591,65.866136,66.154468,67.725567,68.126812,68.553704
1/15/2021 14:04:48.734,66.584426,66.71035,65.897928,66.187634,67.732231,68.117885,68.567473
1/15/2021 14:04:49.234,66.586734,66.703254,65.968363,66.128928,67.755523,68.13338,68.576777
1/15/2021 14:04:49.734,66.632859,66.715435,66.010366,66.147534,67.762282,68.159398,68.605544
1/15/2021 14:04:50.234,66.626643,66.772058,66.055071,66.197972,67.775003,68.180372,68.588918
1/15/2021 14:04:50.734,66.634325,66.816663,66.022384,66.220564,67.778638,68.197075,68.622356
1/15/2021 14:04:51.234,66.637947,66.828081,65.993664,66.21891,67.795947,68.176094,68.638287
1/15/2021 14:04:51.734,66.66628,66.838755,65.933918,66.30023,67.782541,68.191577,68.655602
1/15/2021 14:04:52.234,66.672774,66.833552,65.911969,66.239749,67.813676,68.203681,68.659681
1/15/2021 14:04:52.734,66.701737,66.791191,65.927634,66.155866,67.825759,68.231124,68.641272
1/15/2021 14:04:53.234,66.701797,66.786435,65.93274,66.19446,67.823073,68.217432,68.654862
1/15/2021 14:04:53.734,66.715665,66.782415,65.913809,66.143189,67.838205,68.220183,68.660823
1/15/2021 14:04:54.234,66.693906,66.761573,65.913607,66.112022,67.82356,68.215168,68.664519
1/15/2021 14:04:54.734,66.709262,66.78679,65.933554,66.150547,67.832034,68.231895,68.678035
1/15/2021 14:04:55.234,66.69806,66.827877,65.951253,66.204715,67.87031,68.237613,68.671831
1/15/2021 14:04:55.734,66.69203,66.836295,66.014266,66.192261,67.837828,68.234479,68.679244
1/15/2021 14:04:56.234,66.702811,66.838132,66.015185,66.275524,67.87566,68.230352,68.678785
1/15/2021 14:04:56.734,66.703695,66.837869,65.989461,66.30095,67.854604,68.260883,68.693266
1/15/2021 14:04:57.234,66.725339,66.882674,65.986335,66.349202,67.877003,68.272734,68.70695
1/15/2021 14:04:57.734,66.726017,66.920045,66.004217,66.354697,67.879897,68.291677,68.695401
1/15/2021 14:04:58.234,66.771427,66.931282,65.97715,66.379009,67.881474,68.296234,68.714171
